fips,beneficiaries
06037,506155
04013,449652
12099,365973
17031,307782
06059,282030
06073,261809
48201,215291
36061,211262
36059,195234
48113,181668
12021,170037
12115,165201
12011,152755
12031,149861
25017,145484
36103,141429
48029,140618
53033,134808
12071,130683
24031,117398
04019,116378
12103,112371
42101,111960
39035,110199
45019,109156
48453,108506
12086,107276
06085,107247
12057,106071
12069,104928
29189,104567
05119,103618
25025,102326
13121,100917
26125,99139
24005,98126
25021,96181
06065,95318
06019,93775
01073,92970
09001,92303
47037,90052
21111,89451
45045,88946
37119,88212
42017,87064
12085,84073
32003,81577
36119,79953
48085,79695
08005,78578
17043,77305
51059,76641
42045,75819
48439,75479
34003,75418
37021,74934
51710,74681
47157,74539
06067,74354
40109,74066
06083,72946
34025,72614
20091,71916
31055,71454
27053,70795
12095,70222
08041,67727
49035,67038
12105,66767
34005,66729
48423,66714
12101,65662
42003,65140
42029,64922
40143,64809
12009,63642
39061,63488
45079,63164
12001,61964
34027,60305
13067,60158
25001,60122
06013,59392
42091,58629
36081,58389
24003,58227
39041,57836
18057,57398
41051,57312
12081,56573
25009,56306
26099,55148
51003,55011
39049,54997
45051,54959
06081,54956
26163,54879
06079,54452
48491,54398
36047,53875
11001,53223
32031,50559
42077,50408
34013,49730
51087,49558
12073,49423
37129,48887
06061,48877
06111,48699
37183,47806
06097,46475
39113,46197
10003,45776
48339,45231
06053,45210
47093,45052
48157,45029
48303,44621
06001,44380
37065,43963
12035,43522
41029,42647
27109,42569
12083,42362
12061,42359
23005,42218
06041,40710
22033,40591
06075,40184
49049,40173
22015,40012
37063,39789
12015,39765
51810,39307
12033,39048
37049,38261
19049,38240
25005,38056
31109,37820
29077,37799
45007,37593
12005,37289
48121,37278
17097,37169
13135,37092
55025,36811
12017,36803
27123,36666
53063,36432
13051,36153
29019,36153
35001,35719
15003,35611
33015,35581
10005,35261
06071,35001
25013,34731
37067,34621
12091,34028
27003,34002
09003,33662
53053,33168
19103,33147
51041,32949
37037,32849
16001,32635
49053,32463
26161,32233
09009,31837
24510,31749
42133,31681
06087,31592
17167,31505
25027,31486
22051,31248
01089,31209
29047,31131
17143,31069
42011,30809
33009,30693
04025,30389
17089,30038
13089,29874
20177,29862
37025,29690
26081,29683
12117,29567
29095,29480
32005,29298
01097,29244
55133,29195
08069,29150
29031,29055
51013,28769
36087,28610
51177,28567
45013,28527
55079,28394
29510,28385
33011,28234
22103,28101
37189,28037
08013,27812
48027,27595
40027,27453
36071,27368
08031,27198
18055,27191
08001,26969
42043,26922
53061,26821
47073,26585
46093,26395
44007,26290
06089,26209
06057,26102
34023,26002
48181,25935
28049,25928
41013,25709
21049,25706
17113,25512
12127,25451
51121,25294
04015,25219
34021,25180
49011,25176
18163,24090
01061,23866
34007,23802
12055,23743
13245,23639
51015,23623
34035,23619
50007,23560
22055,23491
36001,23490
36027,23339
41047,23220
29001,23122
37071,23114
53035,23056
06095,23049
51085,22960
38017,22917
22019,22901
51075,22835
18081,22741
06077,22729
13057,22610
36029,22585
20173,22574
37081,22513
27037,22418
18097,22366
18089,22358
36055,22347
05007,22318
42071,21999
39095,21782
05131,21758
45063,21727
42093,21626
48245,21570
21015,21520
47065,21519
37125,21217
13133,21083
28031,21033
21059,21026
18011,20928
04005,20863
39165,20560
48375,20534
22073,20520
45091,20372
24041,20159
47019,19976
48037,19955
24001,19941
17197,19686
51107,19487
44003,19485
55087,19263
01101,19066
37019,19062
24033,18952
46083,18908
42041,18884
36067,18790
13313,18710
13021,18501
29183,18347
37023,18308
46099,18042
48171,18038
39093,17788
54011,17643
51069,17494
51019,17456
39099,17432
18063,17298
34029,17279
48041,17263
18003,17243
18157,17125
09007,16990
39017,16939
12111,16841
24025,16711
13059,16688
06007,16428
36085,16398
35013,16367
39043,16266
48167,16265
48091,16249
45083,16245
20155,16095
24021,16060
24045,16000
06029,15999
02020,15901
47009,15895
05087,15825
12019,15787
28087,15771
13055,15734
26065,15658
28047,15633
13153,15309
30029,15216
51650,15188
17019,15176
55063,15168
01003,15104
53073,14956
45041,14948
51770,14915
55009,14847
18009,14800
19113,14771
47149,14739
55071,14651
48441,14633
01077,14627
48135,14593
21067,14536
21029,14486
21227,14456
39173,14431
13131,14349
21083,14297
05005,14295
16055,14119
09011,14051
48183,14025
13139,13985
39057,13925
47001,13844
41039,13841
06055,13764
41005,13755
08037,13688
13215,13676
56021,13649
54039,13546
01125,13502
19153,13486
24027,13464
30063,13463
51700,13338
53011,13320
45015,13276
33013,13086
48355,12991
36005,12967
25003,12926
33019,12738
30043,12682
51036,12639
26115,12637
51067,12567
42069,12565
34039,12431
13117,12418
26049,12395
22071,12378
06099,12204
53007,12151
38015,12099
06101,12056
17093,12041
30003,11987
13063,11973
12097,11836
42013,11777
18019,11772
08077,11500
42049,11472
39003,11382
20051,11380
05051,11320
21093,11310
18141,11309
51095,11173
29003,11096
13073,11074
13077,11006
18005,11001
17163,10931
15009,10904
28081,10884
55059,10846
48469,10815
17007,10805
26077,10762
36007,10737
12109,10730
53005,10718
49005,10670
34001,10618
51153,10515
48061,10501
44005,10464
13027,10442
30031,10441
29127,10411
35049,10317
55027,10317
37057,10287
41019,10261
47017,10236
13045,10233
45085,10231
48141,10168
31019,10122
16019,9963
27009,9947
12131,9932
39151,9900
39103,9885
06107,9876
42079,9862
26075,9826
28071,9813
36105,9803
29051,9776
49057,9765
26121,9732
28089,9697
31079,9688
51165,9659
48215,9642
55017,9635
16053,9627
48009,9597
56025,9585
40119,9533
24047,9517
37045,9468
05063,9458
47033,9453
39089,9375
19163,9298
08123,9259
51550,9209
48309,9191
06033,9184
37135,9042
47187,9020
06109,8982
54001,8966
36083,8953
05045,8884
24017,8872
42129,8869
28059,8840
47159,8819
19123,8814
41017,8807
37069,8800
48221,8770
12053,8722
33005,8717
26017,8711
42037,8649
39079,8558
21195,8516
55073,8508
04003,8487
37001,8479
26019,8452
13179,8367
20209,8358
08067,8338
34015,8272
51185,8268
40113,8224
40031,8069
45021,8040
05031,7958
24009,7939
36109,7859
28023,7843
06047,7836
20161,7817
54049,7791
48139,7717
39153,7614
55039,7560
45001,7529
29097,7512
18039,7500
28067,7498
37097,7448
55105,7430
19013,7429
26021,7416
18035,7396
15001,7389
42081,7375
53045,7371
01043,7365
48235,7332
47021,7313
29099,7199
01011,7187
17161,7162
51760,7160
48031,7155
19033,7123
19015,7117
16075,7105
54107,7057
27013,7055
01103,7024
24037,7014
55101,7013
05025,6914
28151,6909
37041,6890
22079,6888
45043,6877
22007,6808
51143,6796
39023,6792
40083,6770
22045,6761
47117,6761
04001,6761
18077,6752
53067,6739
42027,6679
45003,6663
47087,6614
53071,6553
37031,6547
39155,6547
48251,6545
08015,6529
17029,6514
54003,6486
48257,6485
27137,6469
17111,6452
34019,6364
48347,6345
48209,6338
26055,6337
50003,6318
34037,6213
55097,6196
17077,6137
13159,6131
42075,6116
39033,6110
39063,6099
18091,6076
51047,6034
39055,5958
40019,5940
30013,5932
37059,5920
17081,5912
19061,5863
36091,5854
34031,5852
21117,5787
45055,5776
54019,5773
48005,5728
28113,5719
08059,5719
17199,5707
29065,5698
21021,5668
06025,5668
41035,5666
06045,5659
48071,5655
47063,5645
36043,5644
23011,5637
04021,5636
19057,5634
05023,5627
22109,5509
48485,5491
48451,5479
06023,5473
24043,5471
37141,5456
48053,5453
55089,5443
13097,5396
01117,5381
13175,5358
36111,5339
18015,5312
13127,5293
41003,5277
51800,5276
25011,5274
06017,5271
50021,5262
18095,5259
28033,5258
37155,5237
08107,5220
31111,5211
54009,5211
19041,5195
54025,5164
44009,5140
26093,5137
41067,5129
72127,5117
39139,5093
55033,5075
22057,5059
42015,5057
27067,5041
33017,5024
26025,5007
01045,4980
21035,4977
39045,4977
34041,4941
28075,4914
05115,4908
55069,4907
37151,4905
49021,4867
37099,4858
24029,4850
23019,4843
36113,4836
47105,4826
34011,4817
36011,4792
15007,4782
46013,4782
13015,4770
54083,4746
39133,4725
27047,4706
48481,4702
28035,4675
16005,4670
36009,4670
27021,4646
40125,4637
42019,4636
37089,4619
48381,4591
21047,4582
49013,4572
20143,4551
40101,4551
26145,4546
41043,4528
18037,4502
20061,4453
37055,4439
22039,4434
39053,4351
47003,4336
22017,4326
19115,4325
18059,4290
01009,4286
17001,4278
53003,4268
10001,4257
54027,4244
17115,4233
18021,4233
13095,4232
37003,4199
36019,4189
55015,4185
55117,4177
23001,4134
13113,4122
08085,4075
12119,4066
39009,4064
51740,4042
44001,4040
01017,4040
48349,4027
26087,4004
53009,3952
01037,3917
39145,3914
42039,3911
54061,3906
18127,3905
13013,3810
27041,3734
13111,3709
22049,3701
19169,3683
51161,3659
38035,3645
17037,3625
53015,3601
21019,3574
37101,3506
42033,3489
37159,3469
21003,3433
16027,3415
36069,3371
42089,3350
47055,3299
16013,3298
21121,3237
48449,3215
21199,3192
06113,3186
37171,3172
37087,3156
18083,3153
01015,3144
37169,3121
56033,3099
24013,3074
09005,3044
48259,3032
45017,3026
48055,3006
46065,2994
29029,2982
08101,2966
48089,2936
34009,2934
16043,2924
20175,2913
01083,2910
17119,2899
46127,2893
29071,2888
22063,2881
48231,2880
34017,2869
53077,2859
17063,2857
37195,2851
02090,2821
26003,2812
35009,2808
29209,2797
41027,2797
26103,2793
18047,2728
46029,2728
17049,2723
12113,2703
72021,2693
28025,2686
39109,2681
49041,2680
36089,2669
27007,2664
20021,2661
26063,2645
31157,2640
40009,2629
25015,2615
48039,2614
42085,2600
37079,2597
19193,2578
21179,2573
12087,2570
48367,2550
26029,2536
13035,2523
12023,2514
35017,2510
18177,2493
36077,2493
29123,2492
27019,2450
46135,2443
01049,2436
51195,2424
24015,2408
42021,2385
55019,2362
20067,2342
33003,2339
29091,2332
29027,2327
37133,2326
51191,2324
35055,2320
55029,2313
51111,2294
53017,2294
39157,2248
04027,2224
21107,2199
01127,2195
26139,2173
26101,2151
05107,2150
28001,2147
51035,2132
23009,2121
01033,2113
35028,2079
46035,2073
55055,2055
18067,2043
36015,1994
48479,1994
30111,1985
28159,1981
54033,1970
26037,1954
48049,1952
05035,1942
42051,1940
09015,1921
26007,1895
26111,1890
55049,1880
55109,1874
37179,1869
29023,1858
41011,1853
46081,1843
39011,1840
13099,1836
56001,1811
39007,1810
37051,1788
47163,1788
24035,1776
23013,1772
13285,1761
26091,1761
51033,1749
51510,1742
53057,1742
55127,1711
11000,1698
21037,1670
47043,1642
53025,1615
50025,1605
20057,1594
08045,1587
05071,1580
23031,1557
40105,1547
13071,1528
72031,1516
37047,1500
36037,1479
42095,1468
26009,1467
27079,1464
49045,1439
17095,1435
37167,1431
01019,1431
21145,1419
32029,1416
46019,1397
18167,1393
50023,1382
42073,1374
41071,1342
72005,1328
08035,1326
53055,1292
27163,1281
40107,1271
51061,1268
39119,1242
21017,1239
13107,1235
26147,1224
17103,1212
48329,1195
55045,1194
29025,1185
48059,1169
56039,1169
02122,1162
22105,1145
40037,1140
20045,1132
72033,1127
38105,1118
02170,1112
48097,1090
37161,1036
36093,1029
13009,997
18061,989
39029,973
25023,962
47165,960
08121,960
66010,920
17005,903
51043,888
48471,856
49043,834
47053,818
72025,797
26045,775
35045,756
42119,734
37043,706
38101,696
37163,692
16031,688
47035,661
78010,608
42025,585
55131,584
36063,550
20103,541
40121,529
27005,483
48021,464
72097,443
42063,442
72061,432
72113,417
72013,409
26043,386
17109,374
22089,351
02110,300
16011,294
48277,279
72091,263
18029,224
26005,219
47079,206
47125,160
72009,152
39005,114
26105,107
72051,105
72047,71
28043,70
72023,69
06031,52
42115,37
72069,14
